Capped GPU memory fraction to 0.80
train shards: 251, val shards: 13
train samples: 49,522,309, val samples: 2,494,517
model: 1.81M params
step    100 | lr 1.50e-05 | loss 2.3840 pol 2.3018 rf 0.4112 acc 21.1% | 10 it/s
step    200 | lr 3.00e-05 | loss 1.5809 pol 1.5533 rf 0.1379 acc 45.3% | 12 it/s
step    300 | lr 4.50e-05 | loss 1.2112 pol 1.1919 rf 0.0965 acc 64.6% | 13 it/s
step    400 | lr 6.00e-05 | loss 1.1055 pol 1.0898 rf 0.0787 acc 66.5% | 14 it/s
step    500 | lr 7.50e-05 | loss 1.1025 pol 1.0852 rf 0.0864 acc 64.5% | 14 it/s
step    600 | lr 9.00e-05 | loss 1.0663 pol 1.0492 rf 0.0851 acc 65.9% | 14 it/s
step    700 | lr 1.05e-04 | loss 1.0150 pol 0.9969 rf 0.0901 acc 68.9% | 14 it/s
step    800 | lr 1.20e-04 | loss 1.0070 pol 0.9899 rf 0.0854 acc 68.5% | 14 it/s
step    900 | lr 1.35e-04 | loss 0.9940 pol 0.9834 rf 0.0527 acc 67.6% | 14 it/s
step   1000 | lr 1.50e-04 | loss 0.9736 pol 0.9630 rf 0.0530 acc 68.5% | 14 it/s
step   1100 | lr 1.65e-04 | loss 0.9444 pol 0.9334 rf 0.0552 acc 70.1% | 14 it/s
step   1200 | lr 1.80e-04 | loss 0.9618 pol 0.9473 rf 0.0727 acc 69.2% | 14 it/s
step   1300 | lr 1.95e-04 | loss 0.9532 pol 0.9384 rf 0.0740 acc 69.3% | 14 it/s
step   1400 | lr 2.10e-04 | loss 1.0272 pol 1.0125 rf 0.0733 acc 67.1% | 14 it/s
step   1500 | lr 2.25e-04 | loss 1.0092 pol 0.9960 rf 0.0664 acc 67.3% | 14 it/s
step   1600 | lr 2.40e-04 | loss 0.9872 pol 0.9725 rf 0.0739 acc 67.6% | 14 it/s
step   1700 | lr 2.55e-04 | loss 0.9831 pol 0.9685 rf 0.0733 acc 67.7% | 15 it/s
step   1800 | lr 2.70e-04 | loss 0.9650 pol 0.9496 rf 0.0768 acc 69.4% | 15 it/s
step   1900 | lr 2.85e-04 | loss 0.9641 pol 0.9501 rf 0.0700 acc 68.9% | 15 it/s
step   2000 | lr 3.00e-04 | loss 0.9696 pol 0.9590 rf 0.0533 acc 67.8% | 15 it/s
[eval] step 2000 val_loss 1.0283 val_acc 69.0%
  -> saved best (1.0283)
step   2100 | lr 3.00e-04 | loss 0.9630 pol 0.9526 rf 0.0521 acc 67.8% | 14 it/s
step   2200 | lr 3.00e-04 | loss 0.9849 pol 0.9720 rf 0.0647 acc 68.4% | 14 it/s
step   2300 | lr 3.00e-04 | loss 0.9862 pol 0.9726 rf 0.0677 acc 68.3% | 14 it/s
step   2400 | lr 3.00e-04 | loss 0.9529 pol 0.9395 rf 0.0670 acc 69.1% | 14 it/s
step   2500 | lr 3.00e-04 | loss 0.9489 pol 0.9356 rf 0.0664 acc 69.2% | 14 it/s
step   2600 | lr 3.00e-04 | loss 0.9382 pol 0.9262 rf 0.0599 acc 69.1% | 14 it/s
step   2700 | lr 3.00e-04 | loss 0.9474 pol 0.9353 rf 0.0604 acc 68.6% | 14 it/s
step   2800 | lr 3.00e-04 | loss 0.9538 pol 0.9413 rf 0.0624 acc 68.1% | 15 it/s
step   2900 | lr 3.00e-04 | loss 0.9581 pol 0.9451 rf 0.0648 acc 68.3% | 15 it/s
step   3000 | lr 3.00e-04 | loss 0.9402 pol 0.9262 rf 0.0702 acc 69.3% | 15 it/s
step   3100 | lr 3.00e-04 | loss 0.9412 pol 0.9272 rf 0.0701 acc 69.1% | 15 it/s
step   3200 | lr 3.00e-04 | loss 0.9592 pol 0.9454 rf 0.0687 acc 67.9% | 15 it/s
step   3300 | lr 3.00e-04 | loss 0.9485 pol 0.9364 rf 0.0606 acc 68.9% | 15 it/s
step   3400 | lr 3.00e-04 | loss 0.9417 pol 0.9291 rf 0.0630 acc 68.9% | 15 it/s
step   3500 | lr 3.00e-04 | loss 0.9494 pol 0.9365 rf 0.0645 acc 68.4% | 15 it/s
step   3600 | lr 3.00e-04 | loss 0.9460 pol 0.9320 rf 0.0702 acc 69.5% | 15 it/s
step   3700 | lr 3.00e-04 | loss 0.9338 pol 0.9204 rf 0.0667 acc 69.5% | 15 it/s
step   3800 | lr 3.00e-04 | loss 0.9580 pol 0.9445 rf 0.0679 acc 68.2% | 15 it/s
step   3900 | lr 3.00e-04 | loss 0.9463 pol 0.9330 rf 0.0663 acc 68.5% | 15 it/s
step   4000 | lr 3.00e-04 | loss 0.9520 pol 0.9379 rf 0.0708 acc 68.3% | 15 it/s
[eval] step 4000 val_loss 1.0605 val_acc 68.4%
step   4100 | lr 3.00e-04 | loss 0.9480 pol 0.9343 rf 0.0683 acc 68.5% | 15 it/s
step   4200 | lr 3.00e-04 | loss 0.9227 pol 0.9112 rf 0.0576 acc 70.5% | 15 it/s
step   4300 | lr 3.00e-04 | loss 0.9155 pol 0.9039 rf 0.0580 acc 70.7% | 15 it/s
step   4400 | lr 3.00e-04 | loss 0.9231 pol 0.9112 rf 0.0597 acc 69.8% | 15 it/s
