Capped GPU memory fraction to 0.80
train shards: 251, val shards: 13
train samples: 35,609,201, val samples: 2,090,714  (filter num_players=6, suit_permute=True)
model: 1.81M params
step    100 | lr 1.50e-05 | loss 2.1741 pol 2.1159 rf 0.5828 acc 20.2% | 8 it/s
step    200 | lr 3.00e-05 | loss 1.5523 pol 1.5041 rf 0.4818 acc 53.1% | 10 it/s
step    300 | lr 4.50e-05 | loss 1.2985 pol 1.2780 rf 0.2051 acc 65.6% | 11 it/s
step    400 | lr 6.00e-05 | loss 1.2404 pol 1.2286 rf 0.1180 acc 65.3% | 11 it/s
step    500 | lr 7.50e-05 | loss 1.1916 pol 1.1782 rf 0.1345 acc 69.0% | 11 it/s
step    600 | lr 9.00e-05 | loss 1.1882 pol 1.1815 rf 0.0677 acc 67.1% | 12 it/s
step    700 | lr 1.05e-04 | loss 1.1739 pol 1.1678 rf 0.0607 acc 67.3% | 12 it/s
step    800 | lr 1.20e-04 | loss 1.1349 pol 1.1280 rf 0.0687 acc 70.1% | 12 it/s
step    900 | lr 1.35e-04 | loss 1.1353 pol 1.1273 rf 0.0806 acc 69.3% | 12 it/s
step   1000 | lr 1.50e-04 | loss 1.1354 pol 1.1267 rf 0.0870 acc 68.9% | 12 it/s
step   1100 | lr 1.65e-04 | loss 1.1538 pol 1.1454 rf 0.0835 acc 68.2% | 12 it/s
step   1200 | lr 1.80e-04 | loss 1.1547 pol 1.1469 rf 0.0782 acc 68.1% | 12 it/s
step   1300 | lr 1.95e-04 | loss 1.1345 pol 1.1262 rf 0.0828 acc 68.3% | 12 it/s
step   1400 | lr 2.10e-04 | loss 1.1271 pol 1.1172 rf 0.0988 acc 70.2% | 12 it/s
step   1500 | lr 2.25e-04 | loss 1.1449 pol 1.1387 rf 0.0625 acc 68.1% | 12 it/s
step   1600 | lr 2.40e-04 | loss 1.1434 pol 1.1377 rf 0.0572 acc 67.9% | 12 it/s
step   1700 | lr 2.55e-04 | loss 1.1403 pol 1.1324 rf 0.0790 acc 69.1% | 12 it/s
step   1800 | lr 2.70e-04 | loss 1.1328 pol 1.1241 rf 0.0867 acc 69.6% | 12 it/s
step   1900 | lr 2.85e-04 | loss 1.1246 pol 1.1159 rf 0.0869 acc 69.5% | 12 it/s
step   2000 | lr 3.00e-04 | loss 1.1198 pol 1.1117 rf 0.0807 acc 69.5% | 12 it/s
[eval] step 2000 val_loss 1.1507 val_acc 69.8%
  -> saved best (1.1507)
step   2100 | lr 3.00e-04 | loss 1.1301 pol 1.1224 rf 0.0773 acc 68.3% | 12 it/s
step   2200 | lr 3.00e-04 | loss 1.1185 pol 1.1105 rf 0.0791 acc 69.1% | 12 it/s
step   2300 | lr 3.00e-04 | loss 1.1168 pol 1.1084 rf 0.0833 acc 69.3% | 12 it/s
step   2400 | lr 3.00e-04 | loss 1.1216 pol 1.1136 rf 0.0802 acc 68.5% | 12 it/s
step   2500 | lr 3.00e-04 | loss 1.1143 pol 1.1076 rf 0.0675 acc 69.8% | 12 it/s
step   2600 | lr 3.00e-04 | loss 1.1139 pol 1.1061 rf 0.0782 acc 68.9% | 12 it/s
step   2700 | lr 3.00e-04 | loss 1.1167 pol 1.1074 rf 0.0925 acc 70.0% | 12 it/s
step   2800 | lr 3.00e-04 | loss 1.1184 pol 1.1100 rf 0.0841 acc 69.2% | 12 it/s
step   2900 | lr 3.00e-04 | loss 1.1122 pol 1.1045 rf 0.0772 acc 68.8% | 12 it/s
step   3000 | lr 3.00e-04 | loss 1.1101 pol 1.1021 rf 0.0799 acc 69.5% | 12 it/s
step   3100 | lr 3.00e-04 | loss 1.1038 pol 1.0971 rf 0.0664 acc 70.5% | 12 it/s
step   3200 | lr 3.00e-04 | loss 1.1063 pol 1.0995 rf 0.0682 acc 70.4% | 12 it/s
step   3300 | lr 3.00e-04 | loss 1.1007 pol 1.0930 rf 0.0777 acc 70.8% | 13 it/s
step   3400 | lr 3.00e-04 | loss 1.1098 pol 1.1031 rf 0.0670 acc 70.3% | 13 it/s
step   3500 | lr 3.00e-04 | loss 1.1003 pol 1.0938 rf 0.0645 acc 70.6% | 13 it/s
step   3600 | lr 3.00e-04 | loss 1.1149 pol 1.1069 rf 0.0806 acc 69.6% | 13 it/s
step   3700 | lr 3.00e-04 | loss 1.1147 pol 1.1064 rf 0.0830 acc 69.4% | 13 it/s
step   3800 | lr 3.00e-04 | loss 1.1088 pol 1.1007 rf 0.0808 acc 69.8% | 13 it/s
step   3900 | lr 3.00e-04 | loss 1.0928 pol 1.0870 rf 0.0584 acc 71.1% | 13 it/s
step   4000 | lr 3.00e-04 | loss 1.0870 pol 1.0816 rf 0.0537 acc 71.3% | 13 it/s
[eval] step 4000 val_loss 1.1078 val_acc 70.7%
  -> saved best (1.1078)
step   4100 | lr 3.00e-04 | loss 1.0925 pol 1.0829 rf 0.0965 acc 71.2% | 13 it/s
step   4200 | lr 3.00e-04 | loss 1.1167 pol 1.1084 rf 0.0834 acc 69.0% | 13 it/s
step   4300 | lr 3.00e-04 | loss 1.1121 pol 1.1052 rf 0.0685 acc 69.4% | 13 it/s
step   4400 | lr 3.00e-04 | loss 1.0863 pol 1.0810 rf 0.0533 acc 71.1% | 13 it/s
step   4500 | lr 3.00e-04 | loss 1.0908 pol 1.0853 rf 0.0550 acc 70.9% | 13 it/s
step   4600 | lr 3.00e-04 | loss 1.0923 pol 1.0863 rf 0.0605 acc 70.9% | 13 it/s
step   4700 | lr 3.00e-04 | loss 1.1026 pol 1.0953 rf 0.0733 acc 70.0% | 13 it/s
step   4800 | lr 3.00e-04 | loss 1.1113 pol 1.1041 rf 0.0715 acc 69.1% | 13 it/s
